fecha,Enfermedades del sistema circulatorio ,COVID-19,Enfermedades del sistema respiratorio ,Enfermedades del sistema nervioso central,Enfermedades del sistema digestivo,Trastornos mentales y del comportamiento,Causas externas de morbilidad y de mortalidad,Tumores [Neoplasias],"Enfermedades endocrinas, nutricionales y metabÃ³licas","SÃ­ntomas, signos y hallazgos anormales clÃ­nicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema genitourinario,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades de la piel y del tejido subcutÃ¡neo,"Malformaciones congÃ©nitas, deformidades y anomalÃ­as cromosÃ³micas","Enfermedades de la sangre y de los Ã³rganos hematopoyÃ©ticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del oÃ­do y de la apÃ³fisis mastoides,Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el perÃ­odo perinatal,"Embarazo, parto y puerperio",CÃ³digos para propÃ³sitos especiales
2016-01-01,76,0,27,9,21,4,33,82,21,10,9,7,2,1,3,0,0,0,1,0,0
2016-01-02,84,0,20,6,10,8,25,64,20,9,11,7,4,1,2,2,0,0,1,0,0
2016-01-03,88,0,24,7,20,4,30,75,15,5,5,13,1,4,1,0,0,0,1,1,0
2016-01-04,80,0,29,12,24,1,26,58,9,8,12,5,1,1,1,2,0,0,1,0,0
2016-01-05,56,0,25,14,17,3,22,67,16,11,3,5,2,1,3,0,0,0,2,0,0
2016-01-06,71,0,28,12,23,5,12,80,26,7,5,14,3,0,3,3,0,0,3,1,0
2016-01-07,67,0,17,16,24,3,18,79,13,10,7,4,1,3,4,1,0,0,1,0,0
2016-01-08,70,0,16,8,16,8,13,82,11,8,7,5,1,3,5,1,0,0,5,0,0
2016-01-09,84,0,21,10,14,4,33,68,17,3,10,6,4,3,3,2,0,0,3,0,0
2016-01-10,75,0,23,5,12,4,31,66,19,11,3,4,1,0,1,2,0,0,2,0,0
2016-01-11,66,0,24,9,21,3,22,61,11,2,7,6,1,0,3,2,0,0,1,0,0
2016-01-12,80,0,21,13,24,4,17,73,16,1,5,6,3,0,2,1,0,0,7,0,0
2016-01-13,76,0,20,14,22,1,20,68,16,7,9,2,1,1,3,2,0,0,6,1,0
2016-01-14,72,0,24,7,25,6,20,75,16,8,4,2,4,1,3,0,0,0,1,0,0
2016-01-15,74,0,18,9,15,5,20,74,9,9,11,9,1,2,5,0,0,0,2,0,0
2016-01-16,64,0,14,12,22,4,27,81,17,3,7,12,5,2,3,3,0,0,2,0,0
2016-01-17,81,0,29,8,21,4,29,84,16,5,6,5,1,1,1,2,0,0,2,0,0
2016-01-18,56,0,31,12,23,7,26,87,11,15,6,9,4,3,3,3,0,0,0,0,0
2016-01-19,74,0,20,14,22,6,18,71,16,10,12,6,2,1,1,1,0,0,2,0,0
2016-01-20,79,0,10,11,19,7,19,74,17,11,6,7,3,0,1,2,0,0,3,0,0
2016-01-21,69,0,18,8,23,4,27,63,21,2,5,9,2,1,9,2,0,0,0,0,0
2016-01-22,69,0,15,11,20,7,19,79,15,7,12,5,2,3,5,3,0,0,0,1,0
2016-01-23,59,0,16,14,29,4,21,62,11,9,6,7,2,4,2,2,0,0,3,0,0
2016-01-24,84,0,25,13,20,7,34,62,13,4,7,8,1,3,5,2,0,0,1,0,0
2016-01-25,73,0,24,13,12,3,10,92,16,2,15,5,0,3,1,2,0,0,3,0,0
2016-01-26,60,0,18,12,26,4,23,68,14,5,5,8,1,2,4,0,0,0,3,0,0
2016-01-27,69,0,29,7,19,6,16,61,11,5,14,7,2,2,3,3,0,0,1,1,0
