fecha,Enfermedades del sistema circulatorio ,COVID-19,Causas externas de morbilidad y de mortalidad,Tumores [Neoplasias],Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,"Enfermedades endocrinas, nutricionales y metabÃ³licas","SÃ­ntomas, signos y hallazgos anormales clÃ­nicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Enfermedades del sistema respiratorio ,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema genitourinario,"Enfermedades de la sangre y de los Ã³rganos hematopoyÃ©ticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades de la piel y del tejido subcutÃ¡neo,"Malformaciones congÃ©nitas, deformidades y anomalÃ­as cromosÃ³micas",Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el perÃ­odo perinatal,"Embarazo, parto y puerperio",nan,Enfermedades del oÃ­do y de la apÃ³fisis mastoides,CÃ³digos para propÃ³sitos especiales
2016-01-01,76,0,33,82,9,4,21,10,21,27,7,9,0,2,1,3,0,1,0,0,0,0
2016-01-02,84,0,25,64,6,8,20,9,10,20,7,11,2,4,1,2,0,1,0,0,0,0
2016-01-03,88,0,30,75,7,4,15,5,20,24,13,5,0,1,4,1,0,1,1,0,0,0
2016-01-04,80,0,26,58,12,1,9,8,24,29,5,12,2,1,1,1,0,1,0,0,0,0
2016-01-05,56,0,22,67,14,3,16,11,17,25,5,3,0,2,1,3,0,2,0,0,0,0
2016-01-06,71,0,12,80,12,5,26,7,23,28,14,5,3,3,0,3,0,3,1,0,0,0
2016-01-07,67,0,18,79,16,3,13,10,24,17,4,7,1,1,3,4,0,1,0,0,0,0
2016-01-08,70,0,13,82,8,8,11,8,16,16,5,7,1,1,3,5,0,5,0,0,0,0
2016-01-09,84,0,33,68,10,4,17,3,14,21,6,10,2,4,3,3,0,3,0,0,0,0
2016-01-10,75,0,31,66,5,4,19,11,12,23,4,3,2,1,0,1,0,2,0,0,0,0
2016-01-11,66,0,22,61,9,3,11,2,21,24,6,7,2,1,0,3,0,1,0,0,0,0
2016-01-12,80,0,17,73,13,4,16,1,24,21,6,5,1,3,0,2,0,7,0,0,0,0
2016-01-13,76,0,20,68,14,1,16,7,22,20,2,9,2,1,1,3,0,6,1,0,0,0
2016-01-14,72,0,20,75,7,6,16,8,25,24,2,4,0,4,1,3,0,1,0,0,0,0
2016-01-15,74,0,20,74,9,5,9,9,15,18,9,11,0,1,2,5,0,2,0,0,0,0
2016-01-16,64,0,27,81,12,4,17,3,22,14,12,7,3,5,2,3,0,2,0,0,0,0
2016-01-17,81,0,29,84,8,4,16,5,21,29,5,6,2,1,1,1,0,2,0,0,0,0
2016-01-18,56,0,26,87,12,7,11,15,23,31,9,6,3,4,3,3,0,0,0,0,0,0
2016-01-19,74,0,18,71,14,6,16,10,22,20,6,12,1,2,1,1,0,2,0,0,0,0
2016-01-20,79,0,19,74,11,7,17,11,19,10,7,6,2,3,0,1,0,3,0,0,0,0
2016-01-21,69,0,27,63,8,4,21,2,23,18,9,5,2,2,1,9,0,0,0,0,0,0
2016-01-22,69,0,19,79,11,7,15,7,20,15,5,12,3,2,3,5,0,0,1,0,0,0
2016-01-23,59,0,21,62,14,4,11,9,29,16,7,6,2,2,4,2,0,3,0,0,0,0
2016-01-24,84,0,34,62,13,7,13,4,20,25,8,7,2,1,3,5,0,1,0,0,0,0
2016-01-25,73,0,10,92,13,3,16,2,12,24,5,15,2,0,3,1,0,3,0,0,0,0
2016-01-26,60,0,23,68,12,4,14,5,26,18,8,5,0,1,2,4,0,3,0,0,0,0
2016-01-27,69,0,16,61,7,6,11,5,19,29,7,14,3,2,2,3,0,1,1,0,0,0
2016-01-28,55,0,18,73,7,6,9,3,18,17,11,13,3,1,1,3,0,0,0,0,0,0
2016-01-29,63,0,24,88,11,4,13,5,29,18,7,5,1,1,0,1,0,0,0,0,0,0
2016-01-30,74,0,17,91,10,3,22,4,25,14,4,6,0,0,1,2,0,1,0,0,0,0
2016-01-31,70,0,38,79,7,2,9,6,19,18,9,8,0,3,2,2,0,1,0,0,0,0
