fecha,Enfermedades del sistema circulatorio ,COVID-19,Causas externas de morbilidad y de mortalidad,Tumores [Neoplasias],Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,"Enfermedades endocrinas, nutricionales y metabÃ³licas","SÃ­ntomas, signos y hallazgos anormales clÃ­nicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Enfermedades del sistema respiratorio ,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema genitourinario,"Enfermedades de la sangre y de los Ã³rganos hematopoyÃ©ticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades de la piel y del tejido subcutÃ¡neo,"Malformaciones congÃ©nitas, deformidades y anomalÃ­as cromosÃ³micas",Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el perÃ­odo perinatal,"Embarazo, parto y puerperio",nan,Enfermedades del oÃ­do y de la apÃ³fisis mastoides,CÃ³digos para propÃ³sitos especiales
2016-01-01,27,0,6,36,5,3,8,2,6,11,2,5,0,1,1,1,0,1,0,0,0,0
2016-01-02,33,0,7,20,5,5,7,3,4,7,4,4,0,1,0,0,0,1,0,0,0,0
2016-01-03,34,0,11,32,2,1,5,1,7,15,3,0,0,0,2,1,0,0,0,0,0,0
2016-01-04,28,0,7,27,6,1,3,3,8,12,2,6,1,0,1,0,0,0,0,0,0,0
2016-01-05,22,0,7,32,6,3,4,3,6,10,4,2,0,2,0,1,0,1,0,0,0,0
2016-01-06,31,0,5,27,3,2,12,3,8,13,5,1,0,2,0,1,0,1,0,0,0,0
2016-01-07,31,0,10,34,8,1,5,5,11,8,0,3,0,0,2,2,0,1,0,0,0,0
2016-01-08,28,0,6,35,2,4,2,3,1,5,3,3,0,0,0,1,0,2,0,0,0,0
2016-01-09,38,0,7,27,5,1,3,1,4,5,3,4,1,2,1,1,0,2,0,0,0,0
2016-01-10,27,0,7,26,1,1,8,5,5,13,0,2,1,1,0,1,0,2,0,0,0,0
2016-01-11,29,0,6,29,3,1,6,1,8,12,3,0,1,0,0,0,0,0,0,0,0,0
2016-01-12,25,0,7,32,5,2,4,0,14,6,3,1,0,3,0,1,0,2,0,0,0,0
2016-01-13,32,0,5,17,5,0,6,1,9,6,2,3,1,0,0,2,0,2,1,0,0,0
2016-01-14,35,0,6,31,2,2,6,5,11,5,0,1,0,3,0,1,0,0,0,0,0,0
2016-01-15,27,0,10,23,3,1,4,4,10,9,4,5,0,1,1,1,0,2,0,0,0,0
2016-01-16,22,0,5,30,6,3,7,1,5,8,4,2,2,2,1,2,0,2,0,0,0,0
2016-01-17,33,0,11,41,3,2,8,4,7,11,2,1,0,1,0,0,0,0,0,0,0,0
2016-01-18,26,0,11,23,6,1,4,9,9,10,4,1,1,0,1,0,0,0,0,0,0,0
2016-01-19,39,0,6,26,4,1,8,5,5,8,3,4,0,1,1,1,0,0,0,0,0,0
2016-01-20,33,0,5,31,3,3,7,6,8,4,2,4,0,0,0,0,0,1,0,0,0,0
2016-01-21,18,0,7,24,3,1,7,1,6,7,7,1,1,2,0,4,0,0,0,0,0,0
2016-01-22,20,0,7,27,5,1,2,1,6,6,1,4,1,1,1,0,0,0,1,0,0,0
2016-01-23,28,0,9,23,4,1,6,1,8,6,4,1,1,1,2,1,0,1,0,0,0,0
2016-01-24,27,0,12,30,5,4,4,2,6,11,2,3,0,1,1,0,0,1,0,0,0,0
2016-01-25,34,0,6,33,6,3,7,1,5,10,2,4,1,0,0,0,0,0,0,0,0,0
2016-01-26,18,0,12,14,6,3,8,1,10,4,3,3,0,0,1,1,0,1,0,0,0,0
