fecha,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema circulatorio ,Tumores [Neoplasias],Enfermedades del sistema respiratorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema digestivo,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Trastornos mentales y del comportamiento,COVID-19,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del ojo y sus anexos ,Enfermedades de la piel y del tejido subcutáneo,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,nan,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-01-01,10,76,82,27,21,7,21,33,9,9,0,4,0,3,2,0,1,0,1,0,0,0
2016-01-02,9,84,64,20,20,7,10,25,11,6,2,8,0,2,4,0,1,0,1,0,0,0
2016-01-03,5,88,75,24,15,13,20,30,5,7,0,4,0,1,1,0,4,0,1,0,1,0
2016-01-04,8,80,58,29,9,5,24,26,12,12,2,1,0,1,1,0,1,0,1,0,0,0
2016-01-05,11,56,67,25,16,5,17,22,3,14,0,3,0,3,2,0,1,0,2,0,0,0
2016-01-06,7,71,80,28,26,14,23,12,5,12,3,5,0,3,3,0,0,0,3,0,1,0
2016-01-07,10,67,79,17,13,4,24,18,7,16,1,3,0,4,1,0,3,0,1,0,0,0
2016-01-08,8,70,82,16,11,5,16,13,7,8,1,8,0,5,1,0,3,0,5,0,0,0
2016-01-09,3,84,68,21,17,6,14,33,10,10,2,4,0,3,4,0,3,0,3,0,0,0
2016-01-10,11,75,66,23,19,4,12,31,3,5,2,4,0,1,1,0,0,0,2,0,0,0
2016-01-11,2,66,61,24,11,6,21,22,7,9,2,3,0,3,1,0,0,0,1,0,0,0
