fecha,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema circulatorio ,Tumores [Neoplasias],Enfermedades del sistema respiratorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema digestivo,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Trastornos mentales y del comportamiento,COVID-19,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del ojo y sus anexos ,Enfermedades de la piel y del tejido subcutáneo,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,nan,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-01-01,2,27,36,11,8,2,6,6,5,5,0,3,0,1,1,0,1,0,1,0,0,0
2016-01-02,3,33,20,7,7,4,4,7,4,5,0,5,0,0,1,0,0,0,1,0,0,0
2016-01-03,1,34,32,15,5,3,7,11,0,2,0,1,0,1,0,0,2,0,0,0,0,0
2016-01-04,3,28,27,12,3,2,8,7,6,6,1,1,0,0,0,0,1,0,0,0,0,0
2016-01-05,3,22,32,10,4,4,6,7,2,6,0,3,0,1,2,0,0,0,1,0,0,0
2016-01-06,3,31,27,13,12,5,8,5,1,3,0,2,0,1,2,0,0,0,1,0,0,0
2016-01-07,5,31,34,8,5,0,11,10,3,8,0,1,0,2,0,0,2,0,1,0,0,0
2016-01-08,3,28,35,5,2,3,1,6,3,2,0,4,0,1,0,0,0,0,2,0,0,0
2016-01-09,1,38,27,5,3,3,4,7,4,5,1,1,0,1,2,0,1,0,2,0,0,0
2016-01-10,5,27,26,13,8,0,5,7,2,1,1,1,0,1,1,0,0,0,2,0,0,0
2016-01-11,1,29,29,12,6,3,8,6,0,3,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-12,0,25,32,6,4,3,14,7,1,5,0,2,0,1,3,0,0,0,2,0,0,0
2016-01-13,1,32,17,6,6,2,9,5,3,5,1,0,0,2,0,0,0,0,2,0,1,0
2016-01-14,5,35,31,5,6,0,11,6,1,2,0,2,0,1,3,0,0,0,0,0,0,0
2016-01-15,4,27,23,9,4,4,10,10,5,3,0,1,0,1,1,0,1,0,2,0,0,0
2016-01-16,1,22,30,8,7,4,5,5,2,6,2,3,0,2,2,0,1,0,2,0,0,0
2016-01-17,4,33,41,11,8,2,7,11,1,3,0,2,0,0,1,0,0,0,0,0,0,0
2016-01-18,9,26,23,10,4,4,9,11,1,6,1,1,0,0,0,0,1,0,0,0,0,0
2016-01-19,5,39,26,8,8,3,5,6,4,4,0,1,0,1,1,0,1,0,0,0,0,0
2016-01-20,6,33,31,4,7,2,8,5,4,3,0,3,0,0,0,0,0,0,1,0,0,0
2016-01-21,1,18,24,7,7,7,6,7,1,3,1,1,0,4,2,0,0,0,0,0,0,0
2016-01-22,1,20,27,6,2,1,6,7,4,5,1,1,0,0,1,0,1,0,0,0,1,0
2016-01-23,1,28,23,6,6,4,8,9,1,4,1,1,0,1,1,0,2,0,1,0,0,0
2016-01-24,2,27,30,11,4,2,6,12,3,5,0,4,0,0,1,0,1,0,1,0,0,0
2016-01-25,1,34,33,10,7,2,5,6,4,6,1,3,0,0,0,0,0,0,0,0,0,0
2016-01-26,1,18,14,4,8,3,10,12,3,6,0,3,0,1,0,0,1,0,1,0,0,0
2016-01-27,0,27,30,11,3,0,8,8,7,3,0,3,0,2,1,0,1,0,1,0,1,0
2016-01-28,1,18,37,8,4,2,10,8,4,2,1,3,0,1,0,0,0,0,0,0,0,0
2016-01-29,3,15,34,9,4,2,8,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-30,1,29,34,4,11,1,10,3,3,3,0,0,0,1,0,0,1,0,1,0,0,0
2016-01-31,3,29,29,7,3,2,6,10,2,1,0,2,0,0,1,0,0,0,0,0,0,0
2016-02-01,3,34,43,10,9,1,10,7,4,4,0,4,0,1,0,0,0,0,1,0,0,0
2016-02-02,2,26,24,9,4,1,8,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0
2016-02-03,2,21,24,6,5,6,8,5,5,4,1,1,0,1,0,0,0,0,1,0,0,0
2016-02-04,0,25,23,5,6,5,4,7,1,5,0,3,0,0,0,0,0,0,1,0,0,0
2016-02-05,1,14,30,5,6,1,7,8,2,1,0,0,0,0,0,0,0,0,1,0,0,0
2016-02-06,2,37,25,9,1,4,10,7,6,2,1,1,0,0,0,0,1,0,0,0,0,0
2016-02-07,0,26,30,5,7,3,6,16,4,4,1,1,0,1,0,0,0,0,1,0,0,0
2016-02-08,1,24,25,7,4,4,12,6,3,2,1,3,0,2,0,0,0,0,0,0,0,0
2016-02-09,2,23,25,5,3,4,4,10,3,5,0,1,0,0,1,0,0,0,1,0,0,0
2016-02-10,3,30,23,5,6,2,7,8,3,4,0,2,0,2,0,0,0,0,1,0,0,0
2016-02-11,2,21,26,6,8,1,10,10,2,3,0,0,0,1,1,0,1,0,1,0,0,0
2016-02-12,0,24,37,8,4,2,5,10,3,3,0,1,0,1,0,0,0,0,0,0,0,0
2016-02-13,1,26,29,6,4,2,5,4,3,6,0,2,0,2,2,0,0,0,0,0,1,0
2016-02-14,5,34,17,11,6,4,4,10,3,2,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-15,3,29,28,9,8,4,5,6,1,7,0,2,0,0,0,0,0,0,0,0,0,0
2016-02-16,1,24,20,6,6,1,11,6,2,3,0,2,0,0,2,0,0,0,3,0,0,0
2016-02-17,1,23,29,3,2,6,4,7,2,2,0,3,0,3,0,0,0,0,0,0,0,0
2016-02-18,2,28,21,6,7,3,6,8,3,3,1,0,0,0,0,0,1,0,1,0,0,0
2016-02-19,4,20,29,13,5,2,7,10,3,1,1,0,0,2,1,0,0,0,0,0,0,0
2016-02-20,3,25,33,7,7,3,10,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0
2016-02-21,2,29,30,11,9,2,12,10,5,2,0,1,0,1,1,0,0,0,0,0,0,0
2016-02-22,2,40,29,11,5,2,6,7,0,5,0,2,0,0,2,0,1,0,3,0,1,0
2016-02-23,4,22,29,7,8,0,6,8,3,1,0,0,0,1,2,0,0,0,2,0,0,0
2016-02-24,3,32,24,8,4,2,13,7,8,4,0,5,0,1,0,0,1,0,0,0,0,0
2016-02-25,2,25,34,5,8,1,7,8,5,3,0,2,0,1,0,0,0,0,0,0,0,0
2016-02-26,2,31,23,5,6,0,12,10,1,3,1,2,0,1,1,0,0,0,1,0,0,0
2016-02-27,7,24,24,8,3,3,9,6,3,1,1,2,0,2,1,0,0,0,0,0,0,0
