fecha,Causas externas de morbilidad y de mortalidad,COVID-19,Tumores [Neoplasias],"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema circulatorio ,Enfermedades del sistema genitourinario,Enfermedades del sistema respiratorio ,Trastornos mentales y del comportamiento,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del sistema nervioso central,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ","Malformaciones congénitas, deformidades y anomalías cromosómicas","Embarazo, parto y puerperio",Ciertas afecciones originadas en el período perinatal,Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Códigos para propósitos especiales
2016-01-01,6,0,36,8,27,5,11,3,2,1,5,2,6,1,0,1,0,1,0,0,0
2016-01-02,7,0,20,7,33,4,7,5,4,1,5,3,4,0,0,0,0,1,0,0,0
2016-01-03,11,0,32,5,34,0,15,1,3,0,2,1,7,2,0,1,0,0,0,0,0
2016-01-04,7,0,27,3,28,6,12,1,2,0,6,3,8,1,1,0,0,0,0,0,0
2016-01-05,7,0,32,4,22,2,10,3,4,2,6,3,6,0,0,1,0,1,0,0,0
2016-01-06,5,0,27,12,31,1,13,2,5,2,3,3,8,0,0,1,0,1,0,0,0
2016-01-07,10,0,34,5,31,3,8,1,0,0,8,5,11,2,0,2,0,1,0,0,0
2016-01-08,6,0,35,2,28,3,5,4,3,0,2,3,1,0,0,1,0,2,0,0,0
2016-01-09,7,0,27,3,38,4,5,1,3,2,5,1,4,1,1,1,0,2,0,0,0
2016-01-10,7,0,26,8,27,2,13,1,0,1,1,5,5,0,1,1,0,2,0,0,0
2016-01-11,6,0,29,6,29,0,12,1,3,0,3,1,8,0,1,0,0,0,0,0,0
2016-01-12,7,0,32,4,25,1,6,2,3,3,5,0,14,0,0,1,0,2,0,0,0
2016-01-13,5,0,17,6,32,3,6,0,2,0,5,1,9,0,1,2,1,2,0,0,0
2016-01-14,6,0,31,6,35,1,5,2,0,3,2,5,11,0,0,1,0,0,0,0,0
2016-01-15,10,0,23,4,27,5,9,1,4,1,3,4,10,1,0,1,0,2,0,0,0
2016-01-16,5,0,30,7,22,2,8,3,4,2,6,1,5,1,2,2,0,2,0,0,0
2016-01-17,11,0,41,8,33,1,11,2,2,1,3,4,7,0,0,0,0,0,0,0,0
2016-01-18,11,0,23,4,26,1,10,1,4,0,6,9,9,1,1,0,0,0,0,0,0
2016-01-19,6,0,26,8,39,4,8,1,3,1,4,5,5,1,0,1,0,0,0,0,0
2016-01-20,5,0,31,7,33,4,4,3,2,0,3,6,8,0,0,0,0,1,0,0,0
2016-01-21,7,0,24,7,18,1,7,1,7,2,3,1,6,0,1,4,0,0,0,0,0
2016-01-22,7,0,27,2,20,4,6,1,1,1,5,1,6,1,1,0,1,0,0,0,0
2016-01-23,9,0,23,6,28,1,6,1,4,1,4,1,8,2,1,1,0,1,0,0,0
2016-01-24,12,0,30,4,27,3,11,4,2,1,5,2,6,1,0,0,0,1,0,0,0
2016-01-25,6,0,33,7,34,4,10,3,2,0,6,1,5,0,1,0,0,0,0,0,0
2016-01-26,12,0,14,8,18,3,4,3,3,0,6,1,10,1,0,1,0,1,0,0,0
