fecha,Causas externas de morbilidad y de mortalidad,COVID-19,Tumores [Neoplasias],"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema circulatorio ,Enfermedades del sistema genitourinario,Enfermedades del sistema respiratorio ,Trastornos mentales y del comportamiento,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del sistema nervioso central,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ","Malformaciones congénitas, deformidades y anomalías cromosómicas","Embarazo, parto y puerperio",Ciertas afecciones originadas en el período perinatal,Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Códigos para propósitos especiales
2016-01-01,33,0,82,21,76,9,27,4,7,2,9,10,21,1,0,3,0,1,0,0,0
2016-01-02,25,0,64,20,84,11,20,8,7,4,6,9,10,1,2,2,0,1,0,0,0
2016-01-03,30,0,75,15,88,5,24,4,13,1,7,5,20,4,0,1,1,1,0,0,0
2016-01-04,26,0,58,9,80,12,29,1,5,1,12,8,24,1,2,1,0,1,0,0,0
2016-01-05,22,0,67,16,56,3,25,3,5,2,14,11,17,1,0,3,0,2,0,0,0
2016-01-06,12,0,80,26,71,5,28,5,14,3,12,7,23,0,3,3,1,3,0,0,0
2016-01-07,18,0,79,13,67,7,17,3,4,1,16,10,24,3,1,4,0,1,0,0,0
2016-01-08,13,0,82,11,70,7,16,8,5,1,8,8,16,3,1,5,0,5,0,0,0
2016-01-09,33,0,68,17,84,10,21,4,6,4,10,3,14,3,2,3,0,3,0,0,0
2016-01-10,31,0,66,19,75,3,23,4,4,1,5,11,12,0,2,1,0,2,0,0,0
2016-01-11,22,0,61,11,66,7,24,3,6,1,9,2,21,0,2,3,0,1,0,0,0
2016-01-12,17,0,73,16,80,5,21,4,6,3,13,1,24,0,1,2,0,7,0,0,0
2016-01-13,20,0,68,16,76,9,20,1,2,1,14,7,22,1,2,3,1,6,0,0,0
2016-01-14,20,0,75,16,72,4,24,6,2,4,7,8,25,1,0,3,0,1,0,0,0
2016-01-15,20,0,74,9,74,11,18,5,9,1,9,9,15,2,0,5,0,2,0,0,0
2016-01-16,27,0,81,17,64,7,14,4,12,5,12,3,22,2,3,3,0,2,0,0,0
2016-01-17,29,0,84,16,81,6,29,4,5,1,8,5,21,1,2,1,0,2,0,0,0
2016-01-18,26,0,87,11,56,6,31,7,9,4,12,15,23,3,3,3,0,0,0,0,0
2016-01-19,18,0,71,16,74,12,20,6,6,2,14,10,22,1,1,1,0,2,0,0,0
2016-01-20,19,0,74,17,79,6,10,7,7,3,11,11,19,0,2,1,0,3,0,0,0
2016-01-21,27,0,63,21,69,5,18,4,9,2,8,2,23,1,2,9,0,0,0,0,0
2016-01-22,19,0,79,15,69,12,15,7,5,2,11,7,20,3,3,5,1,0,0,0,0
2016-01-23,21,0,62,11,59,6,16,4,7,2,14,9,29,4,2,2,0,3,0,0,0
2016-01-24,34,0,62,13,84,7,25,7,8,1,13,4,20,3,2,5,0,1,0,0,0
2016-01-25,10,0,92,16,73,15,24,3,5,0,13,2,12,3,2,1,0,3,0,0,0
2016-01-26,23,0,68,14,60,5,18,4,8,1,12,5,26,2,0,4,0,3,0,0,0
2016-01-27,16,0,61,11,69,14,29,6,7,2,7,5,19,2,3,3,1,1,0,0,0
2016-01-28,18,0,73,9,55,13,17,6,11,1,7,3,18,1,3,3,0,0,0,0,0
2016-01-29,24,0,88,13,63,5,18,4,7,1,11,5,29,0,1,1,0,0,0,0,0
2016-01-30,17,0,91,22,74,6,14,3,4,0,10,4,25,1,0,2,0,1,0,0,0
2016-01-31,38,0,79,9,70,8,18,2,9,3,7,6,19,2,0,2,0,1,0,0,0
2016-02-01,27,0,97,25,70,10,27,12,5,6,12,11,23,2,0,1,0,3,0,0,0
2016-02-02,17,0,59,19,71,10,21,5,8,2,14,9,23,1,0,2,0,1,0,0,0
2016-02-03,19,0,70,11,62,13,20,5,10,2,12,8,12,0,2,6,1,4,0,0,0
2016-02-04,18,0,70,14,70,3,17,7,9,2,10,9,14,2,3,0,1,4,0,0,0
2016-02-05,19,0,80,14,56,8,19,1,3,2,6,6,25,0,2,4,0,3,0,0,0
2016-02-06,27,0,79,7,70,9,28,4,10,3,6,5,18,3,1,1,0,2,0,0,0
2016-02-07,37,0,79,16,68,12,20,2,5,4,8,6,22,2,4,1,0,3,0,0,0
2016-02-08,25,0,57,11,67,10,14,8,7,0,8,4,25,1,3,5,0,0,0,0,0
2016-02-09,29,0,73,6,79,14,19,4,8,4,8,3,16,0,1,0,0,1,0,0,0
2016-02-10,18,0,70,18,71,7,13,4,6,2,9,8,21,0,0,2,0,1,0,0,0
2016-02-11,19,0,61,13,56,5,21,2,3,1,7,7,17,1,1,3,0,2,0,0,0
2016-02-12,26,0,84,12,61,9,20,2,4,2,12,5,13,4,1,3,0,1,0,0,0
2016-02-13,19,0,71,14,69,9,14,7,9,4,11,7,13,0,0,6,1,0,0,0,0
2016-02-14,25,0,49,12,71,7,24,1,11,2,5,7,10,1,1,0,0,1,0,0,0
2016-02-15,21,0,61,22,68,5,20,3,5,2,15,6,18,0,0,1,0,3,0,0,0
2016-02-16,24,0,62,12,64,6,17,5,4,2,12,6,20,2,0,2,0,5,0,0,0
2016-02-17,16,0,68,13,58,12,11,9,9,0,3,6,14,0,3,3,0,0,0,0,0
2016-02-18,20,0,65,12,72,7,12,6,5,2,12,8,17,1,2,1,0,2,0,0,0
2016-02-19,23,0,66,11,55,14,25,2,7,3,8,6,18,0,2,2,0,2,0,0,0
2016-02-20,24,0,76,14,78,6,27,1,6,0,9,7,23,0,1,1,0,3,0,0,0
2016-02-21,37,0,73,15,65,13,18,6,5,2,10,9,20,1,2,2,0,1,0,0,0
2016-02-22,20,0,75,11,84,7,22,5,5,2,13,12,14,1,1,3,1,3,0,0,0
2016-02-23,25,0,63,15,71,6,13,1,2,2,5,8,21,1,1,3,0,3,0,0,0
2016-02-24,33,0,69,17,74,13,15,9,4,1,8,11,26,1,1,2,0,0,0,0,0
2016-02-25,21,0,67,14,60,15,17,3,4,0,10,5,22,0,0,4,0,2,0,0,0
2016-02-26,23,0,60,13,70,4,13,4,6,2,8,5,26,1,2,1,0,1,0,0,0
2016-02-27,19,0,65,11,76,9,21,5,8,5,10,11,22,0,3,3,0,0,0,0,0
2016-02-28,19,0,68,12,71,8,23,5,7,3,11,5,19,1,1,4,0,2,0,0,0
2016-02-29,18,0,64,8,55,5,21,4,2,1,16,8,21,1,1,3,0,4,0,0,0
2016-03-01,24,0,72,15,81,5,20,5,9,3,15,4,22,0,1,4,1,1,0,0,0
2016-03-02,19,0,69,8,58,7,26,4,2,2,12,6,21,2,2,1,0,2,0,0,0
2016-03-03,15,0,81,9,67,12,9,5,5,0,9,6,26,2,0,0,1,1,0,0,0
2016-03-04,15,0,68,15,67,12,16,5,4,3,6,6,23,1,1,4,0,4,0,0,0
2016-03-05,17,0,79,17,64,7,22,6,10,2,10,1,29,2,0,1,0,3,0,0,0
2016-03-06,28,0,60,19,56,13,16,3,4,0,2,5,25,0,0,3,0,1,0,0,0
2016-03-07,27,0,63,18,53,14,17,4,5,1,13,6,16,1,0,3,0,1,0,0,0
2016-03-08,19,0,63,17,48,6,16,7,5,1,15,8,24,0,1,2,0,1,0,0,0
2016-03-09,26,0,77,18,69,10,20,5,2,1,14,6,15,0,3,4,0,1,0,0,0
2016-03-10,31,0,82,23,62,13,21,8,3,2,15,6,21,0,0,3,0,1,0,0,0
2016-03-11,20,0,87,11,62,6,18,3,3,1,8,6,28,0,2,2,0,1,0,0,0
2016-03-12,19,0,59,11,61,4,18,3,4,1,4,7,12,0,5,2,0,1,0,0,0
2016-03-13,32,0,62,16,59,8,19,2,5,1,9,7,23,1,0,0,1,3,0,0,0
2016-03-14,17,0,74,10,55,7,22,4,8,2,14,9,20,1,2,0,0,3,0,0,0
2016-03-15,20,0,81,12,58,6,27,4,2,1,11,9,17,5,1,0,0,4,0,0,0
2016-03-16,22,0,83,9,67,10,19,2,5,2,7,3,29,0,0,2,0,4,0,0,0
2016-03-17,24,0,64,18,54,2,23,2,5,2,10,11,24,0,2,2,0,2,0,0,0
2016-03-18,18,0,65,18,72,5,17,8,3,1,11,3,26,0,1,4,0,1,0,0,0
2016-03-19,18,0,85,8,62,8,18,3,7,1,5,5,20,1,0,1,0,0,0,0,0
2016-03-20,17,0,86,16,65,13,11,5,7,3,9,7,17,1,1,1,0,2,0,0,0
2016-03-21,17,0,62,16,74,14,23,6,5,0,14,7,21,0,2,2,0,2,0,0,0
2016-03-22,25,0,52,13,67,9,22,7,7,1,3,4,13,2,2,6,0,2,0,0,0
2016-03-23,14,0,76,10,71,8,13,4,8,2,7,10,11,1,0,5,0,4,0,0,0
2016-03-24,13,0,69,7,75,8,16,4,3,1,11,5,19,1,0,3,1,1,0,0,0
2016-03-25,29,0,70,9,74,6,18,4,2,1,11,13,22,0,2,2,0,3,0,0,0
2016-03-26,16,0,79,10,73,4,24,4,5,1,8,3,24,0,3,0,1,1,0,0,0
2016-03-27,18,0,70,25,66,7,19,3,3,1,8,9,21,0,3,2,0,2,0,0,0
2016-03-28,19,0,71,12,70,10,22,4,9,3,8,11,19,0,0,2,0,2,0,0,0
2016-03-29,14,0,78,13,65,7,23,6,6,2,4,10,20,2,2,3,0,0,0,0,0
2016-03-30,6,0,68,12,54,7,24,4,7,5,10,6,21,0,3,5,2,2,0,0,0
2016-03-31,14,0,61,20,65,7,23,5,8,1,6,7,19,1,1,4,0,0,0,0,0
2016-04-01,24,0,65,12,56,10,18,3,3,2,7,13,14,1,0,2,0,5,0,0,0
2016-04-02,18,0,86,11,67,4,21,5,5,2,5,9,26,3,0,0,0,3,0,0,0
2016-04-03,34,0,54,17,69,7,30,4,5,1,10,6,22,1,0,3,0,0,0,0,0
2016-04-04,16,0,67,14,64,5,25,5,5,2,9,7,24,3,1,2,1,5,0,0,0
2016-04-05,15,0,69,11,69,2,17,4,6,1,6,3,25,0,1,4,0,2,0,0,0
2016-04-06,19,0,64,11,70,8,17,5,8,0,1,9,28,0,1,5,0,3,0,0,0
2016-04-07,11,0,82,16,73,7,19,5,4,0,8,12,28,1,1,3,0,1,0,0,0
2016-04-08,14,0,82,17,76,3,28,3,6,4,8,2,19,0,1,4,0,1,0,0,0
2016-04-09,19,0,54,14,67,8,27,7,5,1,13,6,23,2,1,2,0,0,0,0,0
2016-04-10,16,0,71,13,66,12,19,5,10,2,11,7,28,1,2,1,0,1,0,0,0
2016-04-11,23,0,87,15,84,9,22,1,7,2,11,11,30,1,1,2,0,2,0,0,0
2016-04-12,17,0,87,17,74,15,20,3,5,1,11,8,19,0,2,1,0,3,0,0,0
