fecha,Tumores [Neoplasias],Enfermedades del sistema respiratorio ,Enfermedades del sistema circulatorio ,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema genitourinario,"Enfermedades endocrinas, nutricionales y metabólicas",Causas externas de morbilidad y de mortalidad,Trastornos mentales y del comportamiento,COVID-19,Enfermedades del sistema nervioso central,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades de la piel y del tejido subcutáneo,Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-01-01,82,27,76,10,21,7,9,21,33,4,0,9,0,2,3,1,0,0,1,0,0
2016-01-02,64,20,84,9,10,7,11,20,25,8,0,6,2,4,2,1,0,0,1,0,0
2016-01-03,75,24,88,5,20,13,5,15,30,4,0,7,0,1,1,4,0,0,1,1,0
2016-01-04,58,29,80,8,24,5,12,9,26,1,0,12,2,1,1,1,0,0,1,0,0
2016-01-05,67,25,56,11,17,5,3,16,22,3,0,14,0,2,3,1,0,0,2,0,0
2016-01-06,80,28,71,7,23,14,5,26,12,5,0,12,3,3,3,0,0,0,3,1,0
2016-01-07,79,17,67,10,24,4,7,13,18,3,0,16,1,1,4,3,0,0,1,0,0
2016-01-08,82,16,70,8,16,5,7,11,13,8,0,8,1,1,5,3,0,0,5,0,0
2016-01-09,68,21,84,3,14,6,10,17,33,4,0,10,2,4,3,3,0,0,3,0,0
2016-01-10,66,23,75,11,12,4,3,19,31,4,0,5,2,1,1,0,0,0,2,0,0
2016-01-11,61,24,66,2,21,6,7,11,22,3,0,9,2,1,3,0,0,0,1,0,0
2016-01-12,73,21,80,1,24,6,5,16,17,4,0,13,1,3,2,0,0,0,7,0,0
2016-01-13,68,20,76,7,22,2,9,16,20,1,0,14,2,1,3,1,0,0,6,1,0
2016-01-14,75,24,72,8,25,2,4,16,20,6,0,7,0,4,3,1,0,0,1,0,0
2016-01-15,74,18,74,9,15,9,11,9,20,5,0,9,0,1,5,2,0,0,2,0,0
2016-01-16,81,14,64,3,22,12,7,17,27,4,0,12,3,5,3,2,0,0,2,0,0
2016-01-17,84,29,81,5,21,5,6,16,29,4,0,8,2,1,1,1,0,0,2,0,0
2016-01-18,87,31,56,15,23,9,6,11,26,7,0,12,3,4,3,3,0,0,0,0,0
2016-01-19,71,20,74,10,22,6,12,16,18,6,0,14,1,2,1,1,0,0,2,0,0
2016-01-20,74,10,79,11,19,7,6,17,19,7,0,11,2,3,1,0,0,0,3,0,0
2016-01-21,63,18,69,2,23,9,5,21,27,4,0,8,2,2,9,1,0,0,0,0,0
2016-01-22,79,15,69,7,20,5,12,15,19,7,0,11,3,2,5,3,0,0,0,1,0
2016-01-23,62,16,59,9,29,7,6,11,21,4,0,14,2,2,2,4,0,0,3,0,0
2016-01-24,62,25,84,4,20,8,7,13,34,7,0,13,2,1,5,3,0,0,1,0,0
2016-01-25,92,24,73,2,12,5,15,16,10,3,0,13,2,0,1,3,0,0,3,0,0
2016-01-26,68,18,60,5,26,8,5,14,23,4,0,12,0,1,4,2,0,0,3,0,0
2016-01-27,61,29,69,5,19,7,14,11,16,6,0,7,3,2,3,2,0,0,1,1,0
2016-01-28,73,17,55,3,18,11,13,9,18,6,0,7,3,1,3,1,0,0,0,0,0
2016-01-29,88,18,63,5,29,7,5,13,24,4,0,11,1,1,1,0,0,0,0,0,0
2016-01-30,91,14,74,4,25,4,6,22,17,3,0,10,0,0,2,1,0,0,1,0,0
2016-01-31,79,18,70,6,19,9,8,9,38,2,0,7,0,3,2,2,0,0,1,0,0
2016-02-01,97,27,70,11,23,5,10,25,27,12,0,12,0,6,1,2,0,0,3,0,0
2016-02-02,59,21,71,9,23,8,10,19,17,5,0,14,0,2,2,1,0,0,1,0,0
2016-02-03,70,20,62,8,12,10,13,11,19,5,0,12,2,2,6,0,0,0,4,1,0
2016-02-04,70,17,70,9,14,9,3,14,18,7,0,10,3,2,0,2,0,0,4,1,0
2016-02-05,80,19,56,6,25,3,8,14,19,1,0,6,2,2,4,0,0,0,3,0,0
2016-02-06,79,28,70,5,18,10,9,7,27,4,0,6,1,3,1,3,0,0,2,0,0
2016-02-07,79,20,68,6,22,5,12,16,37,2,0,8,4,4,1,2,0,0,3,0,0
2016-02-08,57,14,67,4,25,7,10,11,25,8,0,8,3,0,5,1,0,0,0,0,0
2016-02-09,73,19,79,3,16,8,14,6,29,4,0,8,1,4,0,0,0,0,1,0,0
2016-02-10,70,13,71,8,21,6,7,18,18,4,0,9,0,2,2,0,0,0,1,0,0
2016-02-11,61,21,56,7,17,3,5,13,19,2,0,7,1,1,3,1,0,0,2,0,0
2016-02-12,84,20,61,5,13,4,9,12,26,2,0,12,1,2,3,4,0,0,1,0,0
2016-02-13,71,14,69,7,13,9,9,14,19,7,0,11,0,4,6,0,0,0,0,1,0
2016-02-14,49,24,71,7,10,11,7,12,25,1,0,5,1,2,0,1,0,0,1,0,0
2016-02-15,61,20,68,6,18,5,5,22,21,3,0,15,0,2,1,0,0,0,3,0,0
2016-02-16,62,17,64,6,20,4,6,12,24,5,0,12,0,2,2,2,0,0,5,0,0
2016-02-17,68,11,58,6,14,9,12,13,16,9,0,3,3,0,3,0,0,0,0,0,0
2016-02-18,65,12,72,8,17,5,7,12,20,6,0,12,2,2,1,1,0,0,2,0,0
2016-02-19,66,25,55,6,18,7,14,11,23,2,0,8,2,3,2,0,0,0,2,0,0
2016-02-20,76,27,78,7,23,6,6,14,24,1,0,9,1,0,1,0,0,0,3,0,0
2016-02-21,73,18,65,9,20,5,13,15,37,6,0,10,2,2,2,1,0,0,1,0,0
2016-02-22,75,22,84,12,14,5,7,11,20,5,0,13,1,2,3,1,0,0,3,1,0
2016-02-23,63,13,71,8,21,2,6,15,25,1,0,5,1,2,3,1,0,0,3,0,0
2016-02-24,69,15,74,11,26,4,13,17,33,9,0,8,1,1,2,1,0,0,0,0,0
2016-02-25,67,17,60,5,22,4,15,14,21,3,0,10,0,0,4,0,0,0,2,0,0
2016-02-26,60,13,70,5,26,6,4,13,23,4,0,8,2,2,1,1,0,0,1,0,0
2016-02-27,65,21,76,11,22,8,9,11,19,5,0,10,3,5,3,0,0,0,0,0,0
2016-02-28,68,23,71,5,19,7,8,12,19,5,0,11,1,3,4,1,0,0,2,0,0
2016-02-29,64,21,55,8,21,2,5,8,18,4,0,16,1,1,3,1,0,0,4,0,0
2016-03-01,72,20,81,4,22,9,5,15,24,5,0,15,1,3,4,0,0,0,1,1,0
2016-03-02,69,26,58,6,21,2,7,8,19,4,0,12,2,2,1,2,0,0,2,0,0
2016-03-03,81,9,67,6,26,5,12,9,15,5,0,9,0,0,0,2,0,0,1,1,0
2016-03-04,68,16,67,6,23,4,12,15,15,5,0,6,1,3,4,1,0,0,4,0,0
2016-03-05,79,22,64,1,29,10,7,17,17,6,0,10,0,2,1,2,0,0,3,0,0
2016-03-06,60,16,56,5,25,4,13,19,28,3,0,2,0,0,3,0,0,0,1,0,0
2016-03-07,63,17,53,6,16,5,14,18,27,4,0,13,0,1,3,1,0,0,1,0,0
2016-03-08,63,16,48,8,24,5,6,17,19,7,0,15,1,1,2,0,0,0,1,0,0
2016-03-09,77,20,69,6,15,2,10,18,26,5,0,14,3,1,4,0,0,0,1,0,0
2016-03-10,82,21,62,6,21,3,13,23,31,8,0,15,0,2,3,0,0,0,1,0,0
2016-03-11,87,18,62,6,28,3,6,11,20,3,0,8,2,1,2,0,0,0,1,0,0
2016-03-12,59,18,61,7,12,4,4,11,19,3,0,4,5,1,2,0,0,0,1,0,0
2016-03-13,62,19,59,7,23,5,8,16,32,2,0,9,0,1,0,1,0,0,3,1,0
2016-03-14,74,22,55,9,20,8,7,10,17,4,0,14,2,2,0,1,0,0,3,0,0
2016-03-15,81,27,58,9,17,2,6,12,20,4,0,11,1,1,0,5,0,0,4,0,0
2016-03-16,83,19,67,3,29,5,10,9,22,2,0,7,0,2,2,0,0,0,4,0,0
2016-03-17,64,23,54,11,24,5,2,18,24,2,0,10,2,2,2,0,0,0,2,0,0
2016-03-18,65,17,72,3,26,3,5,18,18,8,0,11,1,1,4,0,0,0,1,0,0
2016-03-19,85,18,62,5,20,7,8,8,18,3,0,5,0,1,1,1,0,0,0,0,0
2016-03-20,86,11,65,7,17,7,13,16,17,5,0,9,1,3,1,1,0,0,2,0,0
2016-03-21,62,23,74,7,21,5,14,16,17,6,0,14,2,0,2,0,0,0,2,0,0
2016-03-22,52,22,67,4,13,7,9,13,25,7,0,3,2,1,6,2,0,0,2,0,0
2016-03-23,76,13,71,10,11,8,8,10,14,4,0,7,0,2,5,1,0,0,4,0,0
2016-03-24,69,16,75,5,19,3,8,7,13,4,0,11,0,1,3,1,0,0,1,1,0
