fecha,COVID-19,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,Tumores [Neoplasias],Enfermedades del sistema circulatorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema respiratorio ,Enfermedades del sistema digestivo,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Ciertas enfermedades infecciosas y parasitarias,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-01-01,0,33,9,9,4,82,76,21,27,21,10,7,1,0,2,3,0,0,1,0,0
2016-01-02,0,25,11,6,8,64,84,20,20,10,9,7,1,2,4,2,0,0,1,0,0
2016-01-03,0,30,5,7,4,75,88,15,24,20,5,13,4,0,1,1,0,0,1,1,0
2016-01-04,0,26,12,12,1,58,80,9,29,24,8,5,1,2,1,1,0,0,1,0,0
2016-01-05,0,22,3,14,3,67,56,16,25,17,11,5,1,0,2,3,0,0,2,0,0
2016-01-06,0,12,5,12,5,80,71,26,28,23,7,14,0,3,3,3,0,0,3,1,0
2016-01-07,0,18,7,16,3,79,67,13,17,24,10,4,3,1,1,4,0,0,1,0,0
2016-01-08,0,13,7,8,8,82,70,11,16,16,8,5,3,1,1,5,0,0,5,0,0
2016-01-09,0,33,10,10,4,68,84,17,21,14,3,6,3,2,4,3,0,0,3,0,0
2016-01-10,0,31,3,5,4,66,75,19,23,12,11,4,0,2,1,1,0,0,2,0,0
2016-01-11,0,22,7,9,3,61,66,11,24,21,2,6,0,2,1,3,0,0,1,0,0
2016-01-12,0,17,5,13,4,73,80,16,21,24,1,6,0,1,3,2,0,0,7,0,0
2016-01-13,0,20,9,14,1,68,76,16,20,22,7,2,1,2,1,3,0,0,6,1,0
2016-01-14,0,20,4,7,6,75,72,16,24,25,8,2,1,0,4,3,0,0,1,0,0
2016-01-15,0,20,11,9,5,74,74,9,18,15,9,9,2,0,1,5,0,0,2,0,0
2016-01-16,0,27,7,12,4,81,64,17,14,22,3,12,2,3,5,3,0,0,2,0,0
2016-01-17,0,29,6,8,4,84,81,16,29,21,5,5,1,2,1,1,0,0,2,0,0
2016-01-18,0,26,6,12,7,87,56,11,31,23,15,9,3,3,4,3,0,0,0,0,0
2016-01-19,0,18,12,14,6,71,74,16,20,22,10,6,1,1,2,1,0,0,2,0,0
2016-01-20,0,19,6,11,7,74,79,17,10,19,11,7,0,2,3,1,0,0,3,0,0
2016-01-21,0,27,5,8,4,63,69,21,18,23,2,9,1,2,2,9,0,0,0,0,0
2016-01-22,0,19,12,11,7,79,69,15,15,20,7,5,3,3,2,5,0,0,0,1,0
2016-01-23,0,21,6,14,4,62,59,11,16,29,9,7,4,2,2,2,0,0,3,0,0
2016-01-24,0,34,7,13,7,62,84,13,25,20,4,8,3,2,1,5,0,0,1,0,0
2016-01-25,0,10,15,13,3,92,73,16,24,12,2,5,3,2,0,1,0,0,3,0,0
2016-01-26,0,23,5,12,4,68,60,14,18,26,5,8,2,0,1,4,0,0,3,0,0
2016-01-27,0,16,14,7,6,61,69,11,29,19,5,7,2,3,2,3,0,0,1,1,0
2016-01-28,0,18,13,7,6,73,55,9,17,18,3,11,1,3,1,3,0,0,0,0,0
2016-01-29,0,24,5,11,4,88,63,13,18,29,5,7,0,1,1,1,0,0,0,0,0
2016-01-30,0,17,6,10,3,91,74,22,14,25,4,4,1,0,0,2,0,0,1,0,0
2016-01-31,0,38,8,7,2,79,70,9,18,19,6,9,2,0,3,2,0,0,1,0,0
2016-02-01,0,27,10,12,12,97,70,25,27,23,11,5,2,0,6,1,0,0,3,0,0
2016-02-02,0,17,10,14,5,59,71,19,21,23,9,8,1,0,2,2,0,0,1,0,0
2016-02-03,0,19,13,12,5,70,62,11,20,12,8,10,0,2,2,6,0,0,4,1,0
2016-02-04,0,18,3,10,7,70,70,14,17,14,9,9,2,3,2,0,0,0,4,1,0
2016-02-05,0,19,8,6,1,80,56,14,19,25,6,3,0,2,2,4,0,0,3,0,0
