fecha,COVID-19,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,Tumores [Neoplasias],Enfermedades del sistema circulatorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema respiratorio ,Enfermedades del sistema digestivo,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Ciertas enfermedades infecciosas y parasitarias,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-01-01,0,6,5,5,3,36,27,8,11,6,2,2,1,0,1,1,0,0,1,0,0
2016-01-02,0,7,4,5,5,20,33,7,7,4,3,4,0,0,1,0,0,0,1,0,0
2016-01-03,0,11,0,2,1,32,34,5,15,7,1,3,2,0,0,1,0,0,0,0,0
2016-01-04,0,7,6,6,1,27,28,3,12,8,3,2,1,1,0,0,0,0,0,0,0
2016-01-05,0,7,2,6,3,32,22,4,10,6,3,4,0,0,2,1,0,0,1,0,0
2016-01-06,0,5,1,3,2,27,31,12,13,8,3,5,0,0,2,1,0,0,1,0,0
2016-01-07,0,10,3,8,1,34,31,5,8,11,5,0,2,0,0,2,0,0,1,0,0
2016-01-08,0,6,3,2,4,35,28,2,5,1,3,3,0,0,0,1,0,0,2,0,0
2016-01-09,0,7,4,5,1,27,38,3,5,4,1,3,1,1,2,1,0,0,2,0,0
2016-01-10,0,7,2,1,1,26,27,8,13,5,5,0,0,1,1,1,0,0,2,0,0
2016-01-11,0,6,0,3,1,29,29,6,12,8,1,3,0,1,0,0,0,0,0,0,0
2016-01-12,0,7,1,5,2,32,25,4,6,14,0,3,0,0,3,1,0,0,2,0,0
2016-01-13,0,5,3,5,0,17,32,6,6,9,1,2,0,1,0,2,0,0,2,1,0
2016-01-14,0,6,1,2,2,31,35,6,5,11,5,0,0,0,3,1,0,0,0,0,0
2016-01-15,0,10,5,3,1,23,27,4,9,10,4,4,1,0,1,1,0,0,2,0,0
2016-01-16,0,5,2,6,3,30,22,7,8,5,1,4,1,2,2,2,0,0,2,0,0
2016-01-17,0,11,1,3,2,41,33,8,11,7,4,2,0,0,1,0,0,0,0,0,0
2016-01-18,0,11,1,6,1,23,26,4,10,9,9,4,1,1,0,0,0,0,0,0,0
2016-01-19,0,6,4,4,1,26,39,8,8,5,5,3,1,0,1,1,0,0,0,0,0
2016-01-20,0,5,4,3,3,31,33,7,4,8,6,2,0,0,0,0,0,0,1,0,0
2016-01-21,0,7,1,3,1,24,18,7,7,6,1,7,0,1,2,4,0,0,0,0,0
2016-01-22,0,7,4,5,1,27,20,2,6,6,1,1,1,1,1,0,0,0,0,1,0
2016-01-23,0,9,1,4,1,23,28,6,6,8,1,4,2,1,1,1,0,0,1,0,0
2016-01-24,0,12,3,5,4,30,27,4,11,6,2,2,1,0,1,0,0,0,1,0,0
2016-01-25,0,6,4,6,3,33,34,7,10,5,1,2,0,1,0,0,0,0,0,0,0
2016-01-26,0,12,3,6,3,14,18,8,4,10,1,3,1,0,0,1,0,0,1,0,0
2016-01-27,0,8,7,3,3,30,27,3,11,8,0,0,1,0,1,2,0,0,1,1,0
2016-01-28,0,8,4,2,3,37,18,4,8,10,1,2,0,1,0,1,0,0,0,0,0
2016-01-29,0,3,2,8,0,34,15,4,9,8,3,2,0,0,0,0,0,0,0,0,0
2016-01-30,0,3,3,3,0,34,29,11,4,10,1,1,1,0,0,1,0,0,1,0,0
2016-01-31,0,10,2,1,2,29,29,3,7,6,3,2,0,0,1,0,0,0,0,0,0
