,Poblacion,01/03 - 07/03,08/03 - 14/03,15/3 - 21/03,22/03 - 28/03,29/03 - 04/04,05/04 - 11/04,12-04 - 18/04,19/04 - 25/04,26/04 - 02/05,03/05 - 09/05
2010,17064000,1691,1794,1703,1644,1709,1682,1730,1693,1937,1875
2011,17254000,1590,1761,1605,1617,1739,1680,1701,1729,1760,1816
2012,17443000,1779,1903,1663,1718,1716,1756,1716,1755,1873,1798
2013,17612000,1678,2027,1680,1721,1677,1824,1782,1757,1886,1796
2014,17788000,1659,1925,1777,1729,1784,1945,1874,1933,1895,1955
2015,17971000,1717,2122,1800,1825,1741,1774,1812,1931,1917,1896
2016,18167000,1768,2018,1788,1757,1748,1845,1893,1929,1990,1904
2017,18419000,1729,1962,1746,1819,1827,1933,1890,1853,1974,1943
2018,18729160,1792,1877,1828,1876,1898,1949,1884,2002,1895,1942
2019,19107216,1820,1864,1827,1899,1887,1993,2051,1909,2023,2078
2020,19458310,1978,1945,1981,1924,2014,1938,2194,2078,1938,2257
