Región,Comuna,CUT,"ELECCIÓN PRESIDENCIAL 2021, PRIMERA VUELTA",,,,,,,,,,,,,,"ELECCIÓN PRESIDENCIAL 2021, SEGUNDA VUELTA",,,,,,,,PRIMARIAS PRESIDENCIALES 2021,,,,,,,,,,,,,,,PLEBISCITO 2020,,,,PLEBISCITO 1988,,,
,,,Mesas escrutadas,Mesas totales,Padrón,Boric,Kast,Provoste,Sichel,Artés,MEO,Parisi,Válidos,Nulos,En blanco,Total,Mesas escrutadas,Mesas totales,Boric,Kast,Válidos,Nulos,En blanco,Total,Mesas instaladas,Mesas totales,Padrón,ChV,Lavín,Briones,Sichel,Desbordes,AD,Boric,Jadue,Válidos,Nulos,En blanco,Total,Apruebo,Rechazo,Nulos,En blanco,Sí,No,Nulos y en blanco,Notas
5,Algarrobo,5602,43,43,14.805,1.978,2.877,817,1.352,90,472,568,8.154,43,20,8.217,43,43,4.580,5.096,9.676,61,23,9.760,21,21,14.100,2.044,739,206,891,208,1.917,1.299,618,3.961,34,1,3.996,4.932,2.118,23,13,2.159,1.172,80,
13,Alhué,13502,21,21,6.118,636,467,520,320,31,151,357,2.482,19,16,2.517,21,21,1.952,1.092,3.044,9,9,3.062,11,11,6.045,293,80,23,165,25,494,268,226,787,10,2,799,2.323,309,7,1,1.077,1.079,67,
8,Alto Biobío,8314,19,19,5.583,377,502,399,155,40,119,255,1.847,81,80,2.008,19,19,1.283,1.069,2.352,48,20,2.420,10,10,5.463,201,133,20,33,15,159,82,77,360,16,4,380,1.269,424,69,43,,,,
3,Alto del Carmen,3302,18,18,5.148,260,265,891,87,11,56,365,1.935,15,14,1.964,18,18,1.236,701,1.937,23,5,1.965,10,10,5.070,143,59,12,53,19,235,122,113,378,10,6,394,1.559,241,9,8,1.609,793,96,
1,Alto Hospicio,1107,179,179,60.343,3.183,5.860,2.212,1.212,263,1.712,9.884,24.326,173,70,24.569,179,179,11.971,11.897,23.868,279,64,24.211,60,60,56.796,2.572,727,165,1.377,303,3.627,2.059,1.568,6.199,137,19,6.355,21.589,4.534,98,37,,,,
10,Ancud,10202,120,120,38.912,3.793,4.372,2.350,1.826,230,938,2.120,15.629,123,131,15.883,120,120,10.412,8.225,18.637,118,48,18.803,40,40,38.241,1.738,525,98,861,254,2.610,1.400,1.210,4.348,73,11,4.432,11.694,2.565,70,31,8.284,9.758,390,
4,Andacollo,4103,35,35,11.278,1.181,661,797,307,64,408,1.172,4.590,61,49,4.700,35,35,4.274,1.480,5.754,61,18,5.833,18,18,11.120,372,148,35,158,31,881,416,465,1.253,20,9,1.282,5.450,582,26,13,3.692,3.269,301,
9,Angol,9201,140,140,46.976,2.805,9.972,2.197,2.014,153,940,3.070,21.151,177,110,21.438,140,140,7.931,16.634,24.565,182,61,24.808,47,47,46.117,4.131,1.325,276,2.057,473,2.660,1.898,762,6.791,83,22,6.896,12.017,7.349,97,57,13.318,10.375,564,
12,Antártica,12202,1,1,233,4,34,1,2,0,2,4,47,0,0,47,1,1,7,26,33,0,0,33,1,1,246,27,7,3,7,10,6,4,2,33,1,0,34,10,21,0,0,51,2,0,
2,Antofagasta,2101,854,854,289.086,28.156,27.264,10.143,9.976,1.635,8.870,36.236,122.280,959,383,123.622,854,854,80.841,53.190,134.031,1.581,390,136.002,285,285,281.166,15.816,4.815,1.583,7.659,1.759,29.665,18.432,11.233,45.481,731,93,46.305,119.986,23.533,430,130,44.504,71.109,3.331,
8,Antuco,8302,15,15,4.687,245,547,332,210,17,91,400,1.842,27,11,1.880,15,15,982,1.188,2.170,28,7,2.205,8,8,4.598,294,69,16,163,46,199,128,71,493,8,2,503,1.341,431,17,4,1.085,1.537,86,
8,Arauco,8202,118,118,31.244,2.203,4.983,1.687,1.138,123,862,3.366,14.362,143,100,14.605,118,118,7.429,9.296,16.725,171,51,16.947,35,35,30.724,2.250,763,201,986,300,2.421,1.652,769,4.671,97,22,4.790,10.377,3.986,60,44,5.821,7.722,370,
15,Arica,15101,559,559,180.736,14.763,24.070,7.921,6.020,952,4.536,23.034,81.296,712,295,82.303,559,559,43.245,41.528,84.773,807,244,85.824,179,179,173.158,12.189,4.347,847,5.334,1.661,14.911,8.484,6.427,27.100,505,77,27.682,64.022,19.716,421,167,36.078,51.431,3.049,
11,Aysén,11201,70,70,22.646,2.188,2.314,1.402,716,126,551,1.664,8.961,102,86,9.149,70,70,6.412,3.925,10.337,69,38,10.444,24,24,21.761,1.048,283,65,504,196,1.628,923,705,2.676,40,9,2.725,7.223,1.698,42,21,3.402,4.690,184,
13,Buin,13402,253,253,78.010,10.500,11.636,3.809,4.609,513,3.199,5.237,39.503,481,132,40.116,253,253,26.268,20.392,46.660,358,105,47.123,85,85,75.070,7.412,2.181,664,3.900,667,9.787,6.230,3.557,17.199,275,22,17.496,33.238,7.166,124,59,14.148,12.753,643,
16,Bulnes,16102,67,67,20.644,1.265,3.045,1.455,1.273,79,458,965,8.540,104,78,8.722,67,67,4.313,6.185,10.498,69,27,10.594,23,23,19.999,1.686,506,109,925,146,1.078,742,336,2.764,42,9,2.815,5.574,2.163,44,22,6.759,4.906,340,
5,Cabildo,5402,53,53,18.033,2.322,1.427,1.258,663,101,680,1.308,7.759,76,42,7.877,53,53,6.590,3.071,9.661,71,24,9.756,18,18,17.782,701,220,49,372,60,1.780,844,936,2.481,31,8,2.520,7.948,1.100,35,16,3.178,6.015,287,
12,Cabo de Hornos,12201,6,6,1.862,189,421,74,63,10,28,82,867,6,5,878,6,6,272,495,767,1,0,768,2,2,1.852,165,51,9,64,41,118,78,40,283,6,1,290,375,269,1,0,756,127,16,
8,Cabrero,8303,74,74,25.305,1.309,3.698,1.279,942,88,677,2.771,10.764,93,98,10.955,74,74,4.768,7.829,12.597,102,38,12.737,25,25,24.737,1.524,552,93,698,181,1.165,824,341,2.689,40,10,2.739,6.858,3.118,44,24,5.031,6.095,273,
2,Calama,2201,393,393,131.956,8.984,11.642,4.912,3.589,606,3.949,23.532,57.214,521,189,57.924,392,393,30.784,25.616,56.400,871,178,57.449,131,131,129.970,6.559,2.306,597,2.845,811,10.333,6.382,3.951,16.892,397,39,17.328,52.057,10.280,355,91,24.432,39.035,2.225,
10,Calbuco,10102,97,97,32.505,2.162,3.387,1.432,1.106,154,710,2.188,11.139,139,168,11.446,97,97,6.452,7.332,13.784,107,55,13.946,34,34,32.052,1.314,498,108,535,173,1.638,931,707,2.952,45,16,3.013,8.728,2.389,97,68,8.413,4.524,516,
3,Caldera,3102,45,45,15.266,1.516,1.263,1.680,440,140,458,1.741,7.238,50,38,7.326,45,45,5.485,2.494,7.979,67,20,8.066,15,15,14.609,740,239,60,372,69,1.499,690,809,2.239,32,7,2.278,6.812,1.127,34,12,2.219,2.565,146,
5,Calera,5502,132,132,44.870,5.607,4.012,2.027,2.066,276,2.443,4.967,21.398,201,75,21.674,132,132,16.264,8.347,24.611,194,56,24.861,44,44,44.365,2.862,687,189,1.621,365,5.092,2.832,2.260,7.954,121,12,8.087,20.625,3.361,94,45,8.274,16.626,610,
13,Calera de Tango,13403,67,67,22.524,2.586,3.596,1.067,1.693,115,693,754,10.504,59,40,10.603,67,67,7.141,7.135,14.276,107,45,14.428,34,34,22.134,3.090,939,370,1.572,209,2.902,2.026,876,5.992,88,13,6.093,9.352,3.340,41,17,3.431,2.709,113,
5,Calle Larga,5302,34,34,11.602,1.304,1.365,942,736,91,620,1.243,6.301,98,40,6.439,34,34,4.309,2.525,6.834,62,18,6.914,17,17,11.248,826,207,71,463,85,1.067,687,380,1.893,30,4,1.927,5.607,955,37,10,2.352,3.081,132,
15,Camarones,15102,11,11,3.196,111,252,195,57,6,53,375,1.049,14,4,1.067,11,11,430,444,874,7,4,885,6,6,3.075,61,25,9,15,12,66,32,34,127,1,1,129,756,159,2,2,384,67,32,
1,Camiña,1402,8,8,2.639,60,384,47,31,3,16,328,869,7,7,883,8,8,151,706,857,9,0,866,4,4,2.635,97,71,3,10,13,24,20,4,121,1,1,123,293,207,11,2,519,191,17,
4,Canela,4202,30,30,9.203,1.161,663,851,294,46,134,679,3.828,39,36,3.903,30,30,3.325,1.497,4.822,20,21,4.863,14,14,8.956,335,118,16,164,37,815,294,521,1.150,10,15,1.175,3.320,433,16,12,1.883,3.666,189,
8,Cañete,8203,87,87,29.725,1.742,6.296,1.457,894,157,571,1.361,12.478,122,101,12.701,87,87,5.419,10.112,15.531,125,41,15.697,29,29,29.012,2.370,875,129,885,481,1.702,1.038,664,4.072,56,15,4.143,7.038,3.405,50,30,6.669,6.096,318,
9,Carahue,9102,78,78,24.663,1.226,3.976,1.748,956,113,497,944,9.460,90,84,9.634,78,78,4.430,7.167,11.597,82,39,11.718,26,26,24.376,1.565,600,91,715,159,854,482,372,2.419,27,4,2.450,4.978,2.220,39,25,6.558,6.844,393,
5,Cartagena,5603,55,55,18.730,2.188,2.321,1.173,971,158,1.040,877,8.728,68,37,8.833,55,55,6.229,4.395,10.624,75,23,10.722,19,19,17.994,1.306,501,67,590,148,1.896,921,975,3.202,37,5,3.244,7.346,1.700,18,11,3.434,3.202,191,
5,Casablanca,5102,67,67,22.793,2.850,3.330,1.254,1.386,151,768,1.081,10.820,106,44,10.970,67,67,7.086,6.019,13.105,102,31,13.238,22,22,21.995,1.908,480,150,1.056,222,2.262,1.424,838,4.170,48,5,4.223,9.148,2.292,52,16,5.174,4.093,331,
10,Castro,10201,135,135,41.866,4.868,4.442,2.414,1.868,320,954,2.733,17.599,149,123,17.871,135,135,12.308,8.276,20.584,171,65,20.820,45,45,40.768,2.319,747,153,1.173,246,4.381,2.666,1.715,6.700,86,23,6.809,13.750,2.830,44,36,7.361,8.060,413,
5,Catemu,5702,36,36,12.173,1.220,990,663,591,47,483,1.142,5.136,62,39,5.237,36,36,4.026,2.265,6.291,49,12,6.352,12,12,12.015,662,146,58,389,69,946,524,422,1.608,25,4,1.637,5.199,711,46,9,2.457,3.424,179,
7,Cauquenes,7201,120,120,37.684,1.999,7.099,1.967,2.374,113,762,1.311,15.625,182,127,15.934,120,120,6.217,13.299,19.516,123,40,19.679,41,41,37.087,3.024,1.110,173,1.342,399,1.699,1.180,519,4.723,61,15,4.799,8.227,4.697,75,61,16.431,9.060,558,
13,Cerrillos,13102,205,205,66.557,9.613,7.195,2.983,3.802,597,3.530,2.993,30.713,227,84,31.024,205,205,24.001,13.818,37.819,255,72,38.146,69,69,65.613,5.538,1.684,394,2.724,736,9.810,5.611,4.199,15.348,200,27,15.575,31.192,5.972,120,34,16.326,26.145,888,
13,Cerro Navia,13103,350,350,113.693,15.350,8.802,5.813,4.615,1.471,7.016,5.398,48.465,360,222,49.047,350,350,42.581,18.051,60.632,358,128,61.118,117,117,111.970,7.264,2.401,492,3.412,959,15.122,6.788,8.334,22.386,367,60,22.813,55.886,7.818,260,119,26.675,53.079,1.923,
10,Chaitén,10401,17,17,5.094,291,555,304,149,11,69,126,1.505,13,32,1.550,17,17,883,1.087,1.970,15,10,1.995,7,7,5.026,180,80,10,68,22,221,141,80,401,2,4,407,964,387,7,5,2.167,1.187,88,
7,Chanco,7202,34,34,9.369,462,1.719,583,391,16,140,235,3.546,63,45,3.654,34,34,1.584,3.515,5.099,41,15,5.155,16,16,9.328,684,243,58,248,135,409,283,126,1.093,20,3,1.116,1.765,1.095,21,18,3.086,2.337,117,
3,Chañaral,3201,38,38,11.980,1.053,702,1.273,278,51,263,1.249,4.869,45,20,4.934,38,38,4.004,1.446,5.450,38,15,5.503,13,13,11.523,389,177,39,134,39,812,332,480,1.201,20,3,1.224,5.185,544,17,14,2.973,4.047,193,
6,Chépica,6302,41,41,13.827,925,1.559,841,853,34,338,586,5.136,34,25,5.195,41,41,3.374,3.520,6.894,42,13,6.949,14,14,13.512,937,226,65,552,94,652,455,197,1.589,19,3,1.611,3.774,1.119,17,5,3.567,3.692,169,
8,Chiguayante,8103,200,200,68.015,8.106,9.097,3.892,4.085,491,2.774,5.924,34.369,228,100,34.697,200,200,23.040,17.892,40.932,381,111,41.424,67,67,65.353,6.410,1.701,631,3.450,628,7.919,5.324,2.595,14.329,223,20,14.572,29.875,8.239,148,50,,,,
11,Chile Chico,11401,20,20,6.423,601,488,332,173,26,86,184,1.890,29,22,1.941,20,20,1.421,838,2.259,31,7,2.297,7,7,6.238,238,82,11,114,31,360,207,153,598,12,4,614,1.397,279,5,4,1.234,1.087,30,
16,Chillán,16101,453,453,153.992,14.744,24.291,9.010,9.420,703,3.914,9.348,71.430,657,242,72.329,453,453,40.277,45.331,85.608,684,192,86.484,151,151,149.927,15.735,4.967,1.038,8.267,1.463,14.194,9.691,4.503,29.929,375,56,30.360,54.338,21.151,279,124,37.708,46.565,1.819,Incluye Chillán Viejo
16,Chillán Viejo,16103,68,68,22.712,1.894,3.694,1.546,1.308,101,822,1.728,11.093,97,39,11.229,68,68,6.085,7.189,13.274,96,25,13.395,23,23,21.800,2.246,781,120,1.089,256,1.912,1.227,685,4.158,65,14,4.237,8.077,3.142,35,20,,,,
6,Chimbarongo,6303,90,90,30.692,2.540,3.465,1.980,1.797,122,980,2.337,13.221,143,119,13.483,90,90,8.654,7.024,15.678,86,43,15.807,30,30,29.835,1.946,531,112,1.145,158,1.849,1.191,658,3.795,51,6,3.852,11.218,2.498,64,22,7.533,8.168,345,
9,Cholchol,9121,33,33,11.149,789,1.820,780,549,86,355,822,5.201,129,66,5.396,33,33,2.690,3.332,6.022,73,18,6.113,17,17,10.918,652,251,33,282,86,513,271,242,1.165,14,3,1.182,2.951,1.197,51,19,,,,
10,Chonchi,10203,40,40,13.357,1.209,1.194,975,498,96,280,1.001,5.253,47,46,5.346,40,40,3.964,2.386,6.350,46,26,6.422,14,14,13.110,552,196,46,246,64,952,560,392,1.504,26,5,1.535,3.081,525,17,15,2.862,2.312,130,
11,Cisnes,11202,18,18,4.642,409,764,283,210,23,118,264,2.071,17,27,2.115,18,18,1.183,1.245,2.428,9,7,2.444,9,9,4.493,433,104,30,142,157,323,197,126,756,9,4,769,1.206,525,4,5,1.172,603,61,
16,Cobquecura,16202,19,19,5.904,460,805,450,414,23,124,266,2.542,35,29,2.606,19,19,1.483,1.956,3.439,25,12,3.476,9,9,5.821,441,210,25,177,29,392,255,137,833,5,2,840,1.595,459,10,11,2.409,935,93,
10,Cochamó,10103,16,16,4.636,284,646,181,197,19,69,148,1.544,13,32,1.589,16,16,690,1.225,1.915,18,16,1.949,6,6,4.618,216,85,32,64,35,161,83,78,377,5,2,384,754,384,6,15,1.936,393,70,
11,Cochrane,11301,13,13,3.384,357,428,264,176,12,49,101,1.387,24,29,1.440,13,13,843,791,1.634,15,10,1.659,6,6,3.264,239,115,24,44,56,217,123,94,456,5,1,462,892,282,5,2,855,505,24,
6,Codegua,6102,35,35,11.661,1.327,1.175,642,578,58,522,1.008,5.310,64,35,5.409,35,35,3.986,2.447,6.433,49,13,6.495,18,18,11.476,767,231,59,421,56,1.008,562,446,1.775,22,5,1.802,5.034,871,21,6,2.364,2.540,95,
16,Coelemu,16203,57,57,15.372,1.077,2.711,1.417,784,50,405,1.142,7.586,69,84,7.739,57,57,3.733,5.184,8.917,57,14,8.988,27,27,15.091,1.250,472,76,567,135,923,637,286,2.173,32,11,2.216,4.538,2.203,28,21,4.500,4.987,260,
16,Coihueco,16302,73,73,22.439,1.024,4.445,1.420,1.220,87,464,997,9.657,88,90,9.835,73,73,3.446,8.655,12.101,247,31,12.379,25,25,21.918,2.080,610,143,1.182,145,835,567,268,2.915,42,5,2.962,4.420,2.737,47,25,7.346,3.699,260,
6,Coinco,6103,22,22,7.305,769,946,344,475,24,291,422,3.271,37,23,3.331,22,22,2.153,1.932,4.085,25,10,4.120,11,11,7.155,608,149,32,387,40,613,451,162,1.221,13,2,1.236,2.616,701,22,7,1.714,1.792,104,
7,Colbún,7402,55,55,18.716,1.512,2.140,1.198,834,76,674,1.132,7.566,94,79,7.739,55,55,4.973,4.196,9.169,52,35,9.256,27,27,18.207,908,292,77,428,111,1.105,648,457,2.013,27,2,2.042,5.375,1.504,27,18,4.591,4.667,164,
1,Colchane,1403,14,14,3.217,17,419,18,10,4,5,433,906,8,1,915,14,14,52,928,980,3,1,984,2,6,3.211,21,10,1,4,6,0,0,0,21,0,0,21,131,374,16,3,554,125,42,
13,Colina,13301,278,278,94.052,7.968,18.091,3.522,9.621,385,3.011,3.995,46.593,297,177,47.067,278,278,22.453,32.583,55.036,509,198,55.743,92,92,91.179,16.082,4.335,2.197,8.085,1.465,9.078,6.040,3.038,25.160,316,36,25.512,32.524,16.625,204,99,13.609,9.471,559,
9,Collipulli,9202,67,67,22.172,1.119,4.949,923,676,89,486,1.170,9.412,105,107,9.624,67,67,3.571,7.623,11.194,78,39,11.311,23,23,21.831,1.794,612,86,861,235,1.064,703,361,2.858,24,16,2.898,5.159,3.075,65,41,5.886,6.335,374,
6,Coltauco,6104,48,48,16.381,1.526,1.880,974,943,74,582,1.139,7.118,59,39,7.216,48,48,4.844,3.829,8.673,60,23,8.756,24,24,15.969,1.376,360,89,818,109,1.088,714,374,2.464,44,6,2.514,6.155,1.340,34,16,3.111,4.503,216,
4,Combarbalá,4302,39,39,12.522,1.212,885,1.270,377,67,211,946,4.968,56,58,5.082,39,39,3.876,1.898,5.774,40,14,5.828,13,13,12.279,422,149,31,172,70,751,394,357,1.173,14,7,1.194,4.428,604,17,15,3.627,3.439,270,
8,Concepción,8101,637,637,200.269,24.338,30.048,11.041,12.723,1.428,5.752,12.689,98.019,666,313,98.998,637,637,60.675,55.596,116.271,1.052,336,117.659,206,206,195.705,20.283,6.408,1.909,10.027,1.939,24.560,16.650,7.910,44.843,545,71,45.459,77.106,27.032,336,105,64.375,113.282,3.763,Incluye Chiguayante y San Pedro de la Paz
13,Conchalí,13104,387,387,116.290,17.619,10.987,5.973,6.007,1.146,6.538,4.786,53.056,410,194,53.660,387,387,43.297,21.464,64.761,445,144,65.350,127,127,115.269,9.137,3.087,615,4.418,1.017,18.826,9.286,9.540,27.963,454,48,28.465,56.395,9.017,204,90,35.839,62.166,2.172,
5,Concón,5103,119,119,40.829,5.100,9.357,2.029,4.702,222,1.251,2.128,24.789,138,76,25.003,119,119,12.555,15.012,27.567,304,131,28.002,60,60,39.648,8.392,2.193,1.122,4.479,598,5.451,3.797,1.654,13.843,136,27,14.006,15.705,8.573,74,32,,,,
7,Constitución,7102,122,122,40.149,2.927,4.479,2.754,2.062,188,1.188,3.860,17.458,180,129,17.767,122,122,10.774,10.056,20.830,214,65,21.109,42,42,39.664,3.199,952,246,1.656,345,3.336,2.114,1.222,6.535,114,35,6.684,14.300,3.888,81,38,7.607,12.048,514,
8,Contulmo,8204,23,23,6.114,330,1.557,306,138,26,139,215,2.711,23,21,2.755,23,23,1.059,2.390,3.449,20,7,3.476,10,10,5.994,467,180,24,198,65,323,220,103,790,16,1,807,1.149,933,9,3,3.192,1.706,119,
3,Copiapó,3101,417,417,124.441,11.766,11.839,10.373,4.341,786,3.225,13.573,55.903,377,160,56.440,417,417,38.215,23.695,61.910,521,153,62.584,135,135,120.058,6.808,2.129,575,3.500,604,11.591,6.492,5.099,18.399,374,48,18.821,51.149,9.660,230,64,20.886,25.148,1.394,
4,Coquimbo,4102,502,502,171.212,18.946,15.849,7.919,7.474,1.052,5.792,14.960,71.992,554,315,72.861,502,502,53.671,31.884,85.555,769,255,86.579,167,167,166.105,10.455,2.967,835,5.763,890,17.649,10.588,7.061,28.104,531,69,28.704,69.539,12.615,274,102,23.591,28.684,1.540,
8,Coronel,8102,339,339,90.394,8.251,11.597,4.777,2.766,496,3.193,10.237,41.317,431,173,41.921,339,339,26.674,22.142,48.816,472,108,49.396,91,91,88.149,5.264,1.582,322,2.422,938,8.241,5.087,3.154,13.505,289,41,13.835,33.464,10.530,201,91,11.893,28.856,913,
14,Corral,14102,18,18,5.546,578,556,519,148,22,134,310,2.267,19,24,2.310,18,18,1.844,1.000,2.844,13,6,2.863,10,10,5.359,266,89,22,128,27,416,231,185,682,11,2,695,1.991,370,13,5,1.299,1.542,56,
11,Coyhaique,11101,167,167,54.221,5.787,6.756,3.845,2.350,284,1.090,2.692,22.804,210,124,23.138,167,167,14.430,11.650,26.080,199,82,26.361,58,58,51.897,3.603,1.016,293,1.710,584,4.693,2.961,1.732,8.296,120,23,8.439,17.165,5.243,61,43,10.376,11.508,457,
9,Cunco,9103,62,62,20.105,1.091,3.389,1.167,779,57,412,961,7.856,77,53,7.986,62,62,3.407,5.833,9.240,65,13,9.318,20,20,19.773,1.405,497,125,611,172,880,576,304,2.285,25,5,2.315,4.090,1.914,47,31,5.690,3.731,164,
9,Curacautín,9203,63,63,21.097,996,4.160,840,603,59,353,657,7.668,82,62,7.812,63,63,2.725,6.306,9.031,53,25,9.109,21,21,21.024,1.150,351,88,545,166,780,498,282,1.930,25,5,1.960,3.491,2.378,33,20,6.619,3.523,196,
13,Curacaví,13503,79,79,27.147,3.875,3.664,1.661,1.831,168,1.002,1.238,13.439,95,75,13.609,79,79,9.652,6.865,16.517,129,43,16.689,39,39,26.401,2.600,872,243,1.243,242,3.455,2.012,1.443,6.055,76,15,6.146,11.713,2.969,79,28,4.717,5.341,232,
10,Curaco de Vélez,10204,12,12,3.770,255,301,291,114,10,57,206,1.234,11,16,1.261,12,12,1.041,762,1.803,20,9,1.832,6,6,3.747,98,28,9,50,11,165,89,76,263,4,3,270,1.091,212,8,4,952,611,57,
8,Curanilahue,8205,93,93,30.382,2.127,3.898,1.962,801,157,789,2.550,12.284,150,128,12.562,93,93,7.474,7.493,14.967,128,54,15.149,31,31,30.008,1.519,501,114,637,267,2.072,1.234,838,3.591,78,11,3.680,9.807,3.229,84,38,6.629,10.466,462,
9,Curarrehue,9104,25,25,8.521,548,1.231,333,341,51,124,270,2.898,23,21,2.942,25,25,1.474,2.411,3.885,28,9,3.922,9,9,8.439,400,137,24,197,42,376,173,203,776,5,4,785,1.740,891,12,12,2.257,570,68,
7,Curepto,7103,36,36,10.330,887,1.062,842,630,35,191,385,4.032,56,41,4.129,36,36,2.834,2.433,5.267,42,19,5.328,18,18,10.188,609,194,33,300,82,617,386,231,1.226,20,7,1.253,2.793,736,15,16,3.354,3.700,253,
7,Curicó,7301,383,383,118.541,12.532,17.171,6.936,7.992,651,4.627,7.880,57.789,450,253,58.492,383,383,36.040,32.035,68.075,547,181,68.803,129,129,115.679,11.239,3.089,975,6.017,1.158,11.250,7.464,3.786,22.489,329,234,23.052,48.391,14.296,222,106,23.649,31.531,1.079,
10,Dalcahue,10205,38,38,12.772,919,1.086,709,488,67,259,796,4.324,45,38,4.407,38,38,3.024,2.616,5.640,46,24,5.710,13,13,12.548,460,148,25,238,49,631,364,267,1.091,17,2,1.110,3.344,634,22,12,2.457,1.186,66,
3,Diego de Almagro,3202,45,45,13.101,1.085,561,987,192,73,244,1.486,4.628,46,20,4.694,45,45,3.932,1.281,5.213,59,14,5.286,15,15,13.008,348,103,28,177,40,1.069,458,611,1.417,21,3,1.441,4.886,499,17,8,4.661,10.279,512,
6,Doñihue,6105,59,59,18.597,2.293,1.975,1.009,1.085,93,760,1.477,8.692,69,46,8.807,59,59,6.427,4.136,10.563,78,26,10.667,29,29,18.107,1.338,359,84,783,112,1.796,1.200,596,3.134,38,5,3.177,7.987,1.393,29,14,2.792,5.734,193,
13,El Bosque,13105,434,434,135.969,18.771,13.458,7.127,6.539,1.207,7.744,6.210,61.056,484,203,61.743,434,434,49.629,25.753,75.382,501,135,76.018,136,136,132.573,9.817,3.115,628,4.696,1.378,17.933,9.474,8.459,27.750,445,70,28.265,64.391,11.059,274,107,32.742,52.479,1.840,
16,El Carmen,16104,39,39,12.469,567,2.331,926,649,25,209,395,5.102,29,37,5.168,39,39,2.008,4.738,6.746,30,19,6.795,20,20,12.334,762,308,37,303,114,420,289,131,1.182,20,2,1.204,2.390,1.353,18,13,5.829,1.824,176,
13,El Monte,13602,83,83,28.129,3.596,3.130,1.764,1.458,204,1.289,1.890,13.331,149,83,13.563,83,83,10.139,6.232,16.371,145,47,16.563,41,41,27.228,2.263,792,178,1.075,218,3.105,1.732,1.373,5.368,84,14,5.466,12.605,2.378,64,28,6.273,5.500,264,
5,El Quisco,5604,43,43,14.675,2.406,2.027,815,1.022,123,663,889,7.945,43,19,8.007,43,43,5.413,3.972,9.385,68,13,9.466,21,21,13.990,1.377,494,101,616,166,2.357,1.226,1.131,3.734,39,3,3.776,5.767,1.437,30,7,1.597,1.506,72,
5,El Tabo,5605,37,37,12.832,2.224,1.791,840,799,141,759,535,7.089,38,18,7.145,37,37,5.030,3.287,8.317,60,15,8.392,19,19,12.105,1.069,401,82,462,124,2.058,997,1.061,3.127,42,1,3.170,4.675,1.142,19,6,1.253,1.022,46,
