Entity,Code,Year,Life Expectancy (OECD)
Australia,AUS,1960,70.9
Australia,AUS,1961,71.2
Australia,AUS,1962,71
Australia,AUS,1963,71.1
Australia,AUS,1964,70.7
Australia,AUS,1965,71
Australia,AUS,1966,70.8
Australia,AUS,1967,71.2
Australia,AUS,1968,70.9
Australia,AUS,1969,71.1
Australia,AUS,1970,70.8
Australia,AUS,1971,71.6
Australia,AUS,1972,72
Australia,AUS,1973,72.1
Australia,AUS,1974,71.9
Australia,AUS,1975,72.7
Australia,AUS,1976,72.8
Australia,AUS,1977,73.4
Australia,AUS,1978,73.7
Australia,AUS,1979,74.3
Australia,AUS,1980,74.6
Australia,AUS,1981,74.9
Australia,AUS,1982,74.7
Australia,AUS,1983,75.5
Australia,AUS,1984,75.8
Australia,AUS,1985,75.6
Australia,AUS,1986,76.1
Australia,AUS,1987,76.3
Australia,AUS,1988,76.3
Australia,AUS,1989,76.5
Australia,AUS,1990,77
Australia,AUS,1991,77.4
Australia,AUS,1992,77.5
Australia,AUS,1993,78
Australia,AUS,1994,78
Australia,AUS,1995,77.9
Australia,AUS,1996,78.2
Australia,AUS,1997,78.5
Australia,AUS,1998,78.7
Australia,AUS,1999,79
Australia,AUS,2000,79.3
Australia,AUS,2001,79.7
Australia,AUS,2002,80
Australia,AUS,2003,80.3
Australia,AUS,2004,80.6
Australia,AUS,2005,80.9
Australia,AUS,2006,81.1
Australia,AUS,2007,81.4
Australia,AUS,2008,81.5
Australia,AUS,2009,81.6
Australia,AUS,2010,81.8
Australia,AUS,2011,82
Australia,AUS,2012,82.1
Australia,AUS,2013,82.2
Australia,AUS,2014,82.4
Australia,AUS,2015,82.5
Austria,AUT,1960,68.7
Austria,AUT,1961,69.7
Austria,AUT,1962,69.4
Austria,AUT,1963,69.6
Austria,AUT,1964,70
Austria,AUT,1965,69.8
Austria,AUT,1966,70.2
Austria,AUT,1967,70
Austria,AUT,1968,70.2
Austria,AUT,1969,69.9
Austria,AUT,1970,70
Austria,AUT,1971,70.2
Austria,AUT,1972,70.6
Austria,AUT,1973,71.1
Austria,AUT,1974,71.1
Austria,AUT,1975,71.2
Austria,AUT,1976,71.7
Austria,AUT,1977,72
Austria,AUT,1978,72.1
Austria,AUT,1979,72.4
Austria,AUT,1980,72.6
Austria,AUT,1981,72.9
Austria,AUT,1982,73.1
Austria,AUT,1983,73.1
Austria,AUT,1984,73.7
Austria,AUT,1985,73.9
Austria,AUT,1986,74.4
Austria,AUT,1987,74.9
Austria,AUT,1988,75.3
Austria,AUT,1989,75.4
Austria,AUT,1990,75.7
Austria,AUT,1991,75.7
Austria,AUT,1992,75.9
Austria,AUT,1993,76.2
Austria,AUT,1994,76.5
Austria,AUT,1995,76.8
Austria,AUT,1996,77
Austria,AUT,1997,77.4
Austria,AUT,1998,77.8
Austria,AUT,1999,78
Austria,AUT,2000,78.2
Austria,AUT,2001,78.7
Austria,AUT,2002,78.8
Austria,AUT,2003,78.7
Austria,AUT,2004,79.3
Austria,AUT,2005,79.4
Austria,AUT,2006,80
Austria,AUT,2007,80.3
Austria,AUT,2008,80.5
Austria,AUT,2009,80.4
Austria,AUT,2010,80.7
Austria,AUT,2011,81.1
Austria,AUT,2012,81
Austria,AUT,2013,81.2
Austria,AUT,2014,81.6
Austria,AUT,2015,81.3
Belgium,BEL,1960,69.8
Belgium,BEL,1961,70.6
Belgium,BEL,1962,70.3
Belgium,BEL,1963,70.1
Belgium,BEL,1964,70.9
Belgium,BEL,1965,70.7
Belgium,BEL,1966,70.8
Belgium,BEL,1967,71.1
Belgium,BEL,1968,70.8
Belgium,BEL,1969,70.9
Belgium,BEL,1970,71.1
Belgium,BEL,1971,71.2
Belgium,BEL,1972,71.5
Belgium,BEL,1973,71.7
Belgium,BEL,1974,72.1
Belgium,BEL,1975,72.1
Belgium,BEL,1976,72.2
Belgium,BEL,1977,72.9
Belgium,BEL,1978,72.8
Belgium,BEL,1979,73.3
Belgium,BEL,1980,73.3
Belgium,BEL,1981,73.7
Belgium,BEL,1982,74
Belgium,BEL,1983,74
Belgium,BEL,1984,74.5
Belgium,BEL,1985,74.6
Belgium,BEL,1986,74.8
Belgium,BEL,1987,75.5
Belgium,BEL,1988,75.7
Belgium,BEL,1989,75.7
Belgium,BEL,1990,76.1
Belgium,BEL,1991,76.3
Belgium,BEL,1992,76.5
Belgium,BEL,1993,76.5
Belgium,BEL,1994,76.8
Belgium,BEL,1995,77
Belgium,BEL,1996,77.3
Belgium,BEL,1997,77.5
Belgium,BEL,1998,77.6
Belgium,BEL,1999,77.7
Belgium,BEL,2000,77.8
Belgium,BEL,2001,78.1
Belgium,BEL,2002,78.2
Belgium,BEL,2003,78.2
Belgium,BEL,2004,79
Belgium,BEL,2005,79.1
Belgium,BEL,2006,79.5
Belgium,BEL,2007,79.9
Belgium,BEL,2008,79.8
Belgium,BEL,2009,80.1
Belgium,BEL,2010,80.3
Belgium,BEL,2011,80.7
Belgium,BEL,2012,80.5
Belgium,BEL,2013,80.7
Belgium,BEL,2014,81.4
Belgium,BEL,2015,81.1
Brazil,BRA,1960,54.3
Brazil,BRA,1961,54.8
Brazil,BRA,1962,55.3
Brazil,BRA,1963,55.8
Brazil,BRA,1964,56.3
Brazil,BRA,1965,56.8
Brazil,BRA,1966,57.3
Brazil,BRA,1967,57.8
Brazil,BRA,1968,58.3
Brazil,BRA,1969,58.8
Brazil,BRA,1970,59.2
Brazil,BRA,1971,59.6
Brazil,BRA,1972,60
Brazil,BRA,1973,60.3
Brazil,BRA,1974,60.6
Brazil,BRA,1975,60.9
Brazil,BRA,1976,61.1
Brazil,BRA,1977,61.4
Brazil,BRA,1978,61.6
Brazil,BRA,1979,61.8
Brazil,BRA,1980,62.1
Brazil,BRA,1981,62.4
Brazil,BRA,1982,62.7
Brazil,BRA,1983,63
Brazil,BRA,1984,63.3
Brazil,BRA,1985,63.7
Brazil,BRA,1986,64
Brazil,BRA,1987,64.3
Brazil,BRA,1988,64.7
Brazil,BRA,1989,65.1
Brazil,BRA,1990,65.4
Brazil,BRA,1991,65.8
Brazil,BRA,1992,66.3
Brazil,BRA,1993,66.7
Brazil,BRA,1994,67.2
Brazil,BRA,1995,67.7
Brazil,BRA,1996,68.2
Brazil,BRA,1997,68.7
Brazil,BRA,1998,69.2
Brazil,BRA,1999,69.7
Brazil,BRA,2000,70
Brazil,BRA,2001,70.5
Brazil,BRA,2002,70.8
Brazil,BRA,2003,71.2
Brazil,BRA,2004,71.5
Brazil,BRA,2005,71.8
Brazil,BRA,2006,72.1
Brazil,BRA,2007,72.4
Brazil,BRA,2008,72.7
Brazil,BRA,2009,73
Brazil,BRA,2010,73.3
Brazil,BRA,2011,73.6
Brazil,BRA,2012,73.8
Brazil,BRA,2013,74.1
Brazil,BRA,2014,74.4
Brazil,BRA,2015,74.7
Canada,CAN,1961,71.3
Canada,CAN,1966,72
Canada,CAN,1971,72.9
Canada,CAN,1976,73.9
Canada,CAN,1979,75.1
Canada,CAN,1980,75.3
Canada,CAN,1981,75.5
Canada,CAN,1982,75.6
Canada,CAN,1983,75.9
Canada,CAN,1984,76.2
Canada,CAN,1985,76.3
Canada,CAN,1986,76.5
Canada,CAN,1987,76.6
Canada,CAN,1988,76.8
Canada,CAN,1989,77
Canada,CAN,1990,77.2
Canada,CAN,1991,77.5
Canada,CAN,1992,77.7
Canada,CAN,1993,77.8
Canada,CAN,1994,77.9
Canada,CAN,1995,77.9
Canada,CAN,1996,78.1
Canada,CAN,1997,78.3
