fecha,Enfermedades del sistema circulatorio ,Tumores [Neoplasias],Ciertas enfermedades infecciosas y parasitarias,"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema respiratorio ,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Causas externas de morbilidad y de mortalidad,Enfermedades del sistema digestivo,Trastornos mentales y del comportamiento,COVID-19,Enfermedades del sistema nervioso central,Enfermedades del sistema genitourinario,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ","Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades de la piel y del tejido subcutáneo,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del oído y de la apófisis mastoides,Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el período perinatal,"Embarazo, parto y puerperio"
2020-01-01,29,24,4,5,17,6,16,4,3,0,3,5,1,2,0,1,0,0,0,0
2020-01-02,36,18,2,1,13,7,4,9,1,0,6,4,0,1,2,1,0,0,1,0
2020-01-03,27,36,4,3,17,1,10,10,0,0,8,12,0,0,3,1,0,0,1,0
2020-01-04,36,28,2,4,22,8,6,6,2,0,1,2,0,1,1,0,0,0,2,0
2020-01-05,32,20,1,5,25,3,3,4,1,0,2,5,0,0,0,0,0,0,1,0
2020-01-06,29,27,5,5,14,6,11,8,2,0,8,2,0,0,1,0,0,0,1,0
2020-01-07,18,31,1,4,15,4,4,8,3,0,1,4,0,0,1,1,0,0,0,0
2020-01-08,18,40,7,1,16,4,13,6,3,0,2,8,1,0,1,0,0,0,0,0
2020-01-09,24,28,1,6,13,2,11,10,0,0,2,3,2,2,0,0,0,0,1,0
2020-01-10,29,28,3,5,9,0,7,13,0,0,4,7,0,0,0,3,0,0,0,0
2020-01-11,18,30,5,8,17,5,11,5,1,0,5,4,0,0,1,1,0,0,1,0
2020-01-12,30,23,3,5,10,7,12,4,2,0,3,4,0,0,3,1,0,0,1,0
2020-01-13,25,24,0,4,22,7,2,3,2,0,3,2,1,1,0,0,0,0,2,0
2020-01-14,22,27,0,2,14,4,3,8,0,0,5,4,0,2,2,0,0,0,2,0
2020-01-15,23,30,5,4,15,3,12,3,1,0,4,2,1,0,1,1,0,0,1,0
2020-01-16,18,27,3,5,13,5,6,8,1,0,1,0,0,1,0,1,0,0,2,0
2020-01-17,26,29,2,5,10,5,12,7,5,0,7,7,3,0,0,0,0,0,0,0
2020-01-18,31,36,1,4,13,7,12,9,5,0,6,3,1,0,0,1,0,0,1,0
2020-01-19,32,20,3,1,10,6,13,6,1,0,6,5,0,0,2,1,0,0,2,0
2020-01-20,16,26,1,3,17,5,8,4,4,0,1,5,1,0,0,0,0,0,0,0
2020-01-21,19,28,3,2,15,4,8,11,3,0,10,4,0,0,1,1,0,0,2,0
2020-01-22,19,32,2,1,15,2,9,7,3,0,4,7,0,1,2,0,0,0,2,0
2020-01-23,22,20,1,3,10,4,5,9,2,0,4,8,0,0,0,0,0,0,0,0
2020-01-24,22,33,1,6,12,2,9,10,3,0,1,3,0,1,1,0,0,0,2,0
2020-01-25,32,22,4,3,15,3,6,8,6,0,3,5,1,0,1,0,0,0,1,0
2020-01-26,22,30,4,3,18,5,10,8,3,0,9,4,1,1,1,1,0,0,0,0
2020-01-27,22,35,1,3,15,6,6,14,4,0,4,4,1,1,1,0,0,0,0,0
2020-01-28,23,24,4,2,16,6,7,14,1,0,2,4,0,2,0,0,0,0,0,0
2020-01-29,23,19,3,4,18,7,9,7,0,0,3,2,1,2,2,1,0,0,0,0
2020-01-30,24,36,0,0,14,2,6,6,1,0,7,5,0,2,0,0,0,0,0,0
2020-01-31,27,28,3,0,24,3,7,5,1,0,3,8,1,0,0,1,0,0,0,0
